Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2010-01-06 00:00:00+00:00,2010-01-06 09:00:00+00:00,short,1882.5,1885.75,2010-03,-3.25,-3.25
2010-01-06 11:00:00+00:00,2010-01-06 12:00:00+00:00,long,1887.5,1878.75,2010-03,-8.75,-12.0
2010-01-06 14:00:00+00:00,2010-01-10 18:00:00+00:00,short,1873.75,1897.25,2010-03,-23.5,-35.5
2010-01-10 20:00:00+00:00,2010-01-11 09:00:00+00:00,long,1897.5,1883.0,2010-03,-14.5,-50.0
2010-01-11 12:00:00+00:00,2010-01-21 12:00:00+00:00,short,1882.0,1843.5,2010-03,38.5,-11.5
2010-01-21 14:00:00+00:00,2010-01-22 10:00:00+00:00,short,1851.0,1829.25,2010-03,21.75,10.25
2010-01-22 12:00:00+00:00,2010-01-25 16:00:00+00:00,short,1832.0,1803.25,2010-03,28.75,39.0
2010-01-26 00:00:00+00:00,2010-01-26 10:00:00+00:00,short,1787.0,1803.5,2010-03,-16.5,22.5
2010-01-26 13:00:00+00:00,2010-01-27 13:00:00+00:00,long,1822.5,1795.25,2010-03,-27.25,-4.75
2010-01-27 15:00:00+00:00,2010-01-28 10:00:00+00:00,long,1813.75,1773.75,2010-03,-40.0,-44.75
2010-01-28 12:00:00+00:00,2010-02-17 16:00:00+00:00,short,1765.5,1811.0,2010-03,-45.5,-90.25
2010-02-18 12:00:00+00:00,2010-02-19 01:00:00+00:00,long,1814.75,1802.5,2010-03,-12.25,-102.5
2010-02-19 03:00:00+00:00,2010-02-19 04:00:00+00:00,short,1803.0,1810.25,2010-03,-7.25,-109.75
2010-02-19 06:00:00+00:00,2010-02-19 07:00:00+00:00,short,1810.5,1814.75,2010-03,-4.25,-114.0
2010-02-19 09:00:00+00:00,2010-02-23 10:00:00+00:00,long,1818.75,1797.5,2010-03,-21.25,-135.25
2010-02-23 12:00:00+00:00,2010-02-25 20:00:00+00:00,short,1793.25,1818.75,2010-03,-25.5,-160.75
2010-02-25 22:00:00+00:00,2010-02-26 03:00:00+00:00,long,1817.25,1814.0,2010-03,-3.25,-164.0
2010-02-26 05:00:00+00:00,2010-02-26 09:00:00+00:00,long,1814.75,1801.5,2010-03,-13.25,-177.25
2010-02-26 14:00:00+00:00,2010-03-02 00:00:00+00:00,long,1820.0,1845.25,2010-03,25.25,-152.0
2010-03-02 10:00:00+00:00,2010-03-03 14:00:00+00:00,long,1854.75,1847.5,2010-06,-7.25,-159.25
2010-03-03 20:00:00+00:00,2010-03-04 08:00:00+00:00,short,1849.5,1855.5,2010-06,-6.0,-165.25
2010-03-04 10:00:00+00:00,2010-03-08 09:00:00+00:00,long,1857.5,1888.0,2010-06,30.5,-134.75
2010-03-09 06:00:00+00:00,2010-03-09 09:00:00+00:00,short,1882.5,1891.75,2010-06,-9.25,-144.0
2010-03-09 11:00:00+00:00,2010-04-01 09:00:00+00:00,long,1904.75,1974.25,2010-06,69.5,-74.5
2010-04-01 11:00:00+00:00,2010-04-01 13:00:00+00:00,long,1965.75,1950.5,2010-06,-15.25,-89.75
2010-04-01 15:00:00+00:00,2010-04-05 09:00:00+00:00,short,1948.25,1968.25,2010-06,-20.0,-109.75
2010-04-05 11:00:00+00:00,2010-04-20 16:00:00+00:00,long,1976.5,2036.25,2010-06,59.75,-50.0
2010-04-20 19:00:00+00:00,2010-04-22 06:00:00+00:00,long,2035.75,2013.25,2010-06,-22.5,-72.5
2010-04-22 08:00:00+00:00,2010-04-22 13:00:00+00:00,short,2014.75,2033.75,2010-06,-19.0,-91.5
