Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2010-01-26 13:00:00+00:00,2010-01-28 09:00:00+00:00,short,1822.5,1793.75,2010-03,28.75,28.75
2010-01-29 09:00:00+00:00,2010-01-29 11:00:00+00:00,short,1788.5,1755.5,2010-03,33.0,61.75
2010-02-01 13:00:00+00:00,2010-02-03 08:00:00+00:00,short,1751.75,1764.5,2010-03,-12.75,49.0
2010-03-09 04:00:00+00:00,2010-03-09 10:00:00+00:00,long,1884.75,1902.5,2010-06,17.75,66.75
2010-03-15 13:00:00+00:00,2010-03-16 10:00:00+00:00,long,1909.0,1927.0,2010-06,18.0,84.75
2010-03-24 12:00:00+00:00,2010-03-25 05:00:00+00:00,long,1951.75,1958.25,2010-06,6.5,91.25
2010-04-28 09:00:00+00:00,2010-04-28 11:00:00+00:00,short,2021.0,1996.75,2010-06,24.25,115.5
2010-05-21 12:00:00+00:00,2010-05-26 15:00:00+00:00,short,1826.75,1794.75,2010-06,32.0,147.5
2010-06-09 08:00:00+00:00,2010-06-11 08:00:00+00:00,short,1801.25,1807.0,2010-09,-5.75,141.75
2010-07-08 12:00:00+00:00,2010-07-09 13:00:00+00:00,long,1779.5,1803.25,2010-09,23.75,165.5
2010-08-16 11:00:00+00:00,2010-08-19 10:00:00+00:00,short,1828.0,1825.25,2010-09,2.75,168.25
2010-08-25 15:00:00+00:00,2010-08-26 12:00:00+00:00,short,1790.0,1783.0,2010-09,7.0,175.25
2010-09-06 20:00:00+00:00,2010-09-08 08:00:00+00:00,long,1867.0,1864.25,2010-12,-2.75,172.5
2010-09-27 10:00:00+00:00,2010-09-28 10:00:00+00:00,long,2014.25,1986.5875154667801,2010-12,-27.662484533219867,144.83751546678013
2010-11-03 11:00:00+00:00,2010-11-03 16:00:00+00:00,long,2143.0,2165.5,2010-12,22.5,167.33751546678013
2010-11-05 07:00:00+00:00,2010-11-08 11:00:00+00:00,long,2176.75,2186.5,2010-12,9.75,177.08751546678013
2010-11-17 11:00:00+00:00,2010-11-18 10:00:00+00:00,short,2105.0,2140.857694498921,2010-12,-35.857694498920864,141.22982096785927
2010-12-03 09:00:00+00:00,2010-12-07 04:00:00+00:00,long,2170.75,2208.5,2011-03,37.75,178.97982096785927
2011-01-04 13:00:00+00:00,2011-01-05 10:00:00+00:00,long,2242.0,2254.5,2011-03,12.5,191.47982096785927
2011-02-15 11:00:00+00:00,2011-02-15 21:00:00+00:00,long,2375.5,2387.5,2011-03,12.0,203.47982096785927
2011-03-04 10:00:00+00:00,2011-03-07 06:00:00+00:00,long,2367.5,2371.0,2011-06,3.5,206.97982096785927
2011-03-11 13:00:00+00:00,2011-03-14 11:00:00+00:00,short,2297.75,2274.75,2011-06,23.0,229.97982096785927
2011-04-13 09:00:00+00:00,2011-04-14 05:00:00+00:00,short,2310.5,2294.5,2011-06,16.0,245.97982096785927
