Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2010-01-20 11:00:00+00:00,2010-03-23 04:00:00+00:00,short,1853.25,1949.75,2010-03,-96.5,-96.5
2010-03-23 22:00:00+00:00,2010-05-03 01:00:00+00:00,long,1959.75,2001.75,2010-06,42.0,-54.5
2010-05-11 18:00:00+00:00,2010-05-14 08:00:00+00:00,long,1930.25,1930.0,2010-06,-0.25,-54.75
2010-05-18 20:00:00+00:00,2010-05-26 07:00:00+00:00,short,1874.0,1831.5,2010-06,42.5,-12.25
2010-05-27 08:00:00+00:00,2010-06-06 21:00:00+00:00,long,1830.5,1813.0,2010-06,-17.5,-29.75
2010-06-07 21:00:00+00:00,2010-07-06 08:00:00+00:00,short,1805.0,1750.75,2010-09,54.25,24.5
2010-07-07 11:00:00+00:00,2010-08-11 10:00:00+00:00,long,1758.5,1844.0,2010-09,85.5,110.0
2010-08-18 14:00:00+00:00,2010-08-24 03:00:00+00:00,long,1860.75,1791.0,2010-09,-69.75,40.25
2010-08-29 21:00:00+00:00,2011-01-20 00:00:00+00:00,long,1796.25,2294.0,2010-09,497.75,538.0
2011-01-23 20:00:00+00:00,2011-02-01 05:00:00+00:00,short,2269.5,2294.5,2011-03,-25.0,513.0
2011-02-02 20:00:00+00:00,2011-02-23 11:00:00+00:00,long,2318.25,2300.0,2011-03,-18.25,494.75
2011-02-23 18:00:00+00:00,2011-02-25 10:00:00+00:00,short,2305.0,2346.75,2011-03,-41.75,453.0
2011-03-01 02:00:00+00:00,2011-03-01 23:00:00+00:00,long,2358.25,2304.25,2011-06,-54.0,399.0
2011-03-16 12:00:00+00:00,2011-03-24 06:00:00+00:00,short,2217.75,2284.0,2011-06,-66.25,332.75
2011-03-28 04:00:00+00:00,2011-04-18 09:00:00+00:00,long,2326.0,2258.5,2011-06,-67.5,265.25
2011-04-24 22:00:00+00:00,2011-05-23 09:00:00+00:00,long,2377.0,2305.0,2011-06,-72.0,193.25
2011-05-24 13:00:00+00:00,2011-06-21 10:00:00+00:00,short,2305.0,2235.25,2011-06,69.75,263.0
2011-06-23 21:00:00+00:00,2011-08-05 02:00:00+00:00,long,2248.75,2182.25,2011-09,-66.5,196.5
2011-08-11 19:00:00+00:00,2011-08-18 09:00:00+00:00,long,2155.75,2088.25,2011-09,-67.5,129.0
2011-08-21 21:00:00+00:00,2011-08-29 00:00:00+00:00,short,2033.75,2182.5,2011-09,-148.75,-19.75
2011-08-30 21:00:00+00:00,2011-09-05 09:00:00+00:00,long,2225.5,2111.75,2011-09,-113.75,-133.5
2011-09-28 12:00:00+00:00,2011-09-30 09:00:00+00:00,long,2260.75,2151.0,2011-12,-109.75,-243.25
2011-10-03 21:00:00+00:00,2011-10-10 13:00:00+00:00,short,2064.75,2265.5,2011-12,-200.75,-444.0
2011-10-13 18:00:00+00:00,2011-10-26 10:00:00+00:00,long,2329.5,2290.25,2011-12,-39.25,-483.25
2011-10-28 10:00:00+00:00,2011-11-01 06:00:00+00:00,long,2389.75,2312.5,2011-12,-77.25,-560.5
2011-11-07 15:00:00+00:00,2011-11-10 01:00:00+00:00,long,2359.75,2305.25,2011-12,-54.5,-615.0
